               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.050555,            0.034685,            0.023497,             0.76018,             0.27083,             0.27918,             0.11855,            0.049051,            0.011225,            0.019501,           0.0043829,           0.0043829,            0.045283
                  37,            0.048446,            0.025647,            0.017147,             0.22503,             0.39439,             0.30075,             0.08627,            0.050265,            0.011817,             0.01827,           0.0044233,           0.0044233,            0.043723
                  38,            0.054723,            0.038889,            0.024223,             0.37424,             0.27083,             0.22153,            0.068765,             0.06318,            0.010876,            0.018672,           0.0044585,           0.0044585,            0.042159
                  39,            0.057423,            0.029015,            0.022716,             0.22464,             0.41549,             0.31467,             0.12315,            0.053056,            0.011223,            0.018343,           0.0044885,           0.0044885,            0.040589
                  40,            0.048581,            0.023077,             0.02039,             0.22679,             0.29167,             0.16521,            0.063089,            0.065661,           0.0098284,            0.020379,           0.0045133,           0.0045133,            0.039013
                  41,            0.062891,            0.026136,            0.021092,             0.23803,             0.41667,             0.25229,            0.064341,            0.050977,            0.011019,            0.022653,           0.0045329,           0.0045329,            0.037433
                  42,            0.056733,            0.023472,            0.022667,             0.27782,             0.27083,             0.22336,            0.075284,            0.053864,            0.010861,             0.02282,           0.0045473,           0.0045473,            0.035847
                  43,            0.051828,            0.030313,            0.022049,             0.17829,             0.39583,             0.23737,            0.081255,            0.051459,             0.01086,            0.022237,           0.0045566,           0.0045566,            0.034257
                  44,            0.055253,            0.027458,            0.022523,             0.89414,              0.3125,             0.34435,             0.11465,            0.049834,             0.01137,            0.021543,           0.0045608,           0.0045608,            0.032661
                  45,            0.053932,            0.027734,            0.018053,             0.31535,             0.39436,             0.29119,            0.082691,            0.051277,             0.01094,            0.020268,           0.0045599,           0.0045599,             0.03106
                  46,            0.056849,            0.023002,            0.018087,             0.24601,             0.39583,             0.28803,              0.1025,             0.05321,             0.01127,            0.021459,           0.0045541,           0.0045541,            0.029454
                  47,            0.051916,            0.026818,            0.021559,             0.29119,                0.25,             0.22352,            0.068138,            0.054927,            0.010904,            0.022093,           0.0045433,           0.0045433,            0.027843
